	BF_rename.GeneMark	FixCFMerged_Transcriptome_Clustered.fasta	YR2_combined_assembly_clustered.fasta
Number of genes	104193	125102	209935
Number of genes in orthogroups	74793	80911	100615
Number of unassigned genes	29400	44191	109320
Percentage of genes in orthogroups	71.8	64.7	47.9
Percentage of unassigned genes	28.2	35.3	52.1
Number of orthogroups containing species	47783	52469	53502
Percentage of orthogroups containing species	77.8	85.5	87.1
Number of species-specific orthogroups	16	29	77
Number of genes in species-specific orthogroups	49	88	282
Percentage of genes in species-specific orthogroups	0.0	0.1	0.1


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	13617	8931	7898
'1	27833	36227	26587
'2	16264	10074	17638
'3	2124	3404	4516
'4	891	1450	2366
'5	306	596	1066
'6	153	322	540
'7	79	158	292
'8	31	83	186
'9	31	41	119
'10	14	35	52
11-15	42	59	103
16-20	10	14	26
21-50	5	6	11
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	22.2	14.5	12.9
'1	45.3	59.0	43.3
'2	26.5	16.4	28.7
'3	3.5	5.5	7.4
'4	1.5	2.4	3.9
'5	0.5	1.0	1.7
'6	0.2	0.5	0.9
'7	0.1	0.3	0.5
'8	0.1	0.1	0.3
'9	0.1	0.1	0.2
'10	0.0	0.1	0.1
11-15	0.1	0.1	0.2
16-20	0.0	0.0	0.0
21-50	0.0	0.0	0.0
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	27833	36227	26587
'2	32528	20148	35276
'3	6372	10212	13548
'4	3564	5800	9464
'5	1530	2980	5330
'6	918	1932	3240
'7	553	1106	2044
'8	248	664	1488
'9	279	369	1071
'10	140	350	520
11-15	526	732	1299
16-20	173	247	458
21-50	129	144	290
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	26.7	29.0	12.7
'2	31.2	16.1	16.8
'3	6.1	8.2	6.5
'4	3.4	4.6	4.5
'5	1.5	2.4	2.5
'6	0.9	1.5	1.5
'7	0.5	0.9	1.0
'8	0.2	0.5	0.7
'9	0.3	0.3	0.5
'10	0.1	0.3	0.2
11-15	0.5	0.6	0.6
16-20	0.2	0.2	0.2
21-50	0.1	0.1	0.1
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
