	balsam	canaan	fraser
Number of genes	104193	125102	209935
Number of genes in orthogroups	89435	101630	169217
Number of unassigned genes	14758	23472	40718
Percentage of genes in orthogroups	85.8	81.2	80.6
Percentage of unassigned genes	14.2	18.8	19.4
Number of orthogroups containing species	49859	57496	71408
Percentage of orthogroups containing species	57.3	66.1	82.1
Number of species-specific orthogroups	2301	5137	18307
Number of genes in species-specific orthogroups	6248	13527	55904
Percentage of genes in species-specific orthogroups	6.0	10.8	26.6


Number of genes per-species in orthogroup	Number of orthogroups	Number of orthogroups	Number of orthogroups
'0	37130	29493	15581
'1	24429	33656	23297
'2	18635	14134	27869
'3	3860	5152	9104
'4	1480	2276	4874
'5	558	993	2397
'6	322	551	1407
'7	194	264	856
'8	120	166	502
'9	70	86	344
'10	49	55	224
11-15	102	121	415
16-20	28	24	71
21-50	12	18	48
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of orthogroups	Percentage of orthogroups	Percentage of orthogroups
'0	42.7	33.9	17.9
'1	28.1	38.7	26.8
'2	21.4	16.2	32.0
'3	4.4	5.9	10.5
'4	1.7	2.6	5.6
'5	0.6	1.1	2.8
'6	0.4	0.6	1.6
'7	0.2	0.3	1.0
'8	0.1	0.2	0.6
'9	0.1	0.1	0.4
'10	0.1	0.1	0.3
11-15	0.1	0.1	0.5
16-20	0.0	0.0	0.1
21-50	0.0	0.0	0.1
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0

Number of genes per-species in orthogroup	Number of genes	Number of genes	Number of genes
'0	0	0	0
'1	24429	33656	23297
'2	37270	28268	55738
'3	11580	15456	27312
'4	5920	9104	19496
'5	2790	4965	11985
'6	1932	3306	8442
'7	1358	1848	5992
'8	960	1328	4016
'9	630	774	3096
'10	490	550	2240
11-15	1268	1503	5145
16-20	492	422	1239
21-50	316	450	1219
51-100	0	0	0
101-150	0	0	0
151-200	0	0	0
201-500	0	0	0
501-1000	0	0	0
'1001+	0	0	0

Number of genes per-species in orthogroup	Percentage of genes	Percentage of genes	Percentage of genes
'0	0.0	0.0	0.0
'1	23.4	26.9	11.1
'2	35.8	22.6	26.6
'3	11.1	12.4	13.0
'4	5.7	7.3	9.3
'5	2.7	4.0	5.7
'6	1.9	2.6	4.0
'7	1.3	1.5	2.9
'8	0.9	1.1	1.9
'9	0.6	0.6	1.5
'10	0.5	0.4	1.1
11-15	1.2	1.2	2.5
16-20	0.5	0.3	0.6
21-50	0.3	0.4	0.6
51-100	0.0	0.0	0.0
101-150	0.0	0.0	0.0
151-200	0.0	0.0	0.0
201-500	0.0	0.0	0.0
501-1000	0.0	0.0	0.0
'1001+	0.0	0.0	0.0
