Orthogroup	balsam	canaan	fraser
OG0086989	BalsamFir254		
OG0086990	BalsamFir310		
OG0086991	BalsamFir398		
OG0086992	BalsamFir476		
OG0086993	BalsamFir857		
OG0086994	BalsamFir876		
OG0086995	BalsamFir918		
OG0086996	BalsamFir1132		
OG0086997	BalsamFir1339		
OG0086998	BalsamFir1408		
OG0086999	BalsamFir1512		
OG0087000	BalsamFir1701		
OG0087001	BalsamFir1727		
OG0087002	BalsamFir1748		
OG0087003	BalsamFir1816		
OG0087004	BalsamFir1863		
OG0087005	BalsamFir1866		
OG0087006	BalsamFir1882		
OG0087007	BalsamFir1891		
OG0087008	BalsamFir1900		
OG0087009	BalsamFir1908		
OG0087010	BalsamFir1926		
OG0087011	BalsamFir1953		
OG0087012	BalsamFir1962		
OG0087013	BalsamFir2024		
OG0087014	BalsamFir2138		
OG0087015	BalsamFir2143		
OG0087016	BalsamFir2144		
OG0087017	BalsamFir2185		
OG0087018	BalsamFir2211		
OG0087019	BalsamFir2252		
OG0087020	BalsamFir2284		
OG0087021	BalsamFir2302		
OG0087022	BalsamFir2381		
OG0087023	BalsamFir2387		
OG0087024	BalsamFir2543		
OG0087025	BalsamFir2572		
OG0087026	BalsamFir2621		
OG0087027	BalsamFir2623		
OG0087028	BalsamFir2629		
OG0087029	BalsamFir2920		
OG0087030	BalsamFir2977		
OG0087031	BalsamFir3003		
OG0087032	BalsamFir3207		
OG0087033	BalsamFir3236		
OG0087034	BalsamFir3255		
OG0087035	BalsamFir3339		
OG0087036	BalsamFir3354		
OG0087037	BalsamFir3414		
OG0087038	BalsamFir3842		
OG0087039	BalsamFir3879		
OG0087040	BalsamFir3956		
OG0087041	BalsamFir3976		
OG0087042	BalsamFir4025		
OG0087043	BalsamFir4175		
OG0087044	BalsamFir4186		
OG0087045	BalsamFir4244		
OG0087046	BalsamFir4261		
OG0087047	BalsamFir4392		
OG0087048	BalsamFir4403		
OG0087049	BalsamFir4427		
OG0087050	BalsamFir4461		
OG0087051	BalsamFir4512		
OG0087052	BalsamFir4518		
OG0087053	BalsamFir4524		
OG0087054	BalsamFir4777		
OG0087055	BalsamFir4794		
OG0087056	BalsamFir4868		
OG0087057	BalsamFir5016		
OG0087058	BalsamFir5073		
OG0087059	BalsamFir5113		
OG0087060	BalsamFir5213		
OG0087061	BalsamFir5280		
OG0087062	BalsamFir5332		
OG0087063	BalsamFir5391		
OG0087064	BalsamFir5392		
OG0087065	BalsamFir5399		
OG0087066	BalsamFir5402		
OG0087067	BalsamFir5416		
OG0087068	BalsamFir5503		
OG0087069	BalsamFir5561		
OG0087070	BalsamFir5621		
OG0087071	BalsamFir5696		
OG0087072	BalsamFir5740		
OG0087073	BalsamFir5762		
OG0087074	BalsamFir5780		
OG0087075	BalsamFir5826		
OG0087076	BalsamFir5846		
OG0087077	BalsamFir5928		
OG0087078	BalsamFir5995		
OG0087079	BalsamFir6071		
OG0087080	BalsamFir6078		
OG0087081	BalsamFir6099		
OG0087082	BalsamFir6245		
OG0087083	BalsamFir6251		
OG0087084	BalsamFir6281		
OG0087085	BalsamFir6340		
OG0087086	BalsamFir6440		
OG0087087	BalsamFir6654		
OG0087088	BalsamFir6661		
OG0087089	BalsamFir6756		
OG0087090	BalsamFir6766		
OG0087091	BalsamFir6818		
OG0087092	BalsamFir6848		
OG0087093	BalsamFir6889		
OG0087094	BalsamFir6895		
OG0087095	BalsamFir6972		
OG0087096	BalsamFir7025		
OG0087097	BalsamFir7228		
OG0087098	BalsamFir7267		
OG0087099	BalsamFir7411		
OG0087100	BalsamFir7422		
OG0087101	BalsamFir7780		
OG0087102	BalsamFir7795		
OG0087103	BalsamFir7796		
OG0087104	BalsamFir7891		
OG0087105	BalsamFir7947		
OG0087106	BalsamFir7975		
OG0087107	BalsamFir7997		
OG0087108	BalsamFir8025		
OG0087109	BalsamFir8178		
OG0087110	BalsamFir8224		
OG0087111	BalsamFir8263		
OG0087112	BalsamFir8323		
OG0087113	BalsamFir8341		
OG0087114	BalsamFir8359		
OG0087115	BalsamFir8457		
OG0087116	BalsamFir8488		
OG0087117	BalsamFir8508		
OG0087118	BalsamFir8517		
OG0087119	BalsamFir8571		
OG0087120	BalsamFir8593		
OG0087121	BalsamFir8625		
OG0087122	BalsamFir8689		
OG0087123	BalsamFir8720		
OG0087124	BalsamFir8836		
OG0087125	BalsamFir8931		
OG0087126	BalsamFir8935		
OG0087127	BalsamFir9034		
