,ClustID,seqCount,avgLen,lenVariance,species,fraser,canaan,balsam,centroid
1,fir85_0,67,2493.94029850746,17908018.42062415,BCF,0.373134328358209,0.522388059701492,0.104477611940299,CF196_TRINITY_DN130054_c0_g1_i2
2,fir85_1,23,5335.5652173913,38363700.166007906,BCF,0.434782608695652,0.391304347826087,0.173913043478261,FraserFir7
3,fir85_10,32,2271.46875,8424710.192540323,BCF,0.0625,0.53125,0.40625,FraserFir51
4,fir85_1000,25,872.04,480326.79,BCF,0.2,0.48,0.32,FraserFir1018
5,fir85_10000,11,1054.90909090909,84204.4909090909,BCF,0.454545454545455,0.363636363636364,0.181818181818182,CF165_TRINITY_DN121335_c0_g1_i3
6,fir85_100004,3,356,372,BF,0.666666666666667,0,0.333333333333333,FraserFir175258
7,fir85_100006,3,366,252,BF,0.666666666666667,0,0.333333333333333,FraserFir175263
8,fir85_10001,3,838,279408,BCF,0.333333333333333,0.333333333333333,0.333333333333333,CF165_TRINITY_DN128623_c0_g2_i2
9,fir85_100014,2,349.5,1624.5,CF,0.5,0.5,0,FraserFir175308
10,fir85_100015,4,325.5,1407.0,CF,0.75,0.25,0,FraserFir175322
11,fir85_10002,6,1141.5,50809.5,BCF,0.333333333333333,0.333333333333333,0.333333333333333,CF169_TRINITY_DN68951_c0_g1_i2
12,fir85_100021,2,360,648,CF,0.5,0.5,0,FraserFir175362
13,fir85_100026,2,357,882,CF,0.5,0.5,0,FraserFir175407
14,fir85_10003,13,1071.92307692308,121575.57692307692,BCF,0.384615384615385,0.384615384615385,0.230769230769231,CF169_TRINITY_DN74829_c1_g2_i4
15,fir85_10004,4,912,179154,BCF,0.25,0.5,0.25,CF170_TRINITY_DN103368_c0_g2_i1
16,fir85_10005,3,804,323919,CF,0.333333333333333,0.666666666666667,0,CF174_TRINITY_DN184742_c5_g1_i4
17,fir85_100051,2,339,3042,CF,0.5,0.5,0,FraserFir53876
18,fir85_100056,3,343,975,CF,0.333333333333333,0.666666666666667,0,FraserFir78874
19,fir85_100059,10,337.5,202.5,BCF,0.6,0.1,0.3,FraserFir80910
20,fir85_10006,11,1168.90909090909,80989.6909090909,BCF,0.363636363636364,0.454545454545455,0.181818181818182,CF191_TRINITY_DN108437_c2_g1_i7
21,fir85_100062,7,346.285714285714,200.57142857142856,BCF,0.571428571428571,0.142857142857143,0.285714285714286,FraserFir84223
22,fir85_100065,8,325.125,753.2678571428571,BCF,0.5,0.375,0.125,FraserFir88252
